1,just around the corner,間近に来て
2,be corwded with,混雑している
3,take a day off,休暇を取る
4,at work,仕事中で
5,dress oneself,服を着る
6,for instance,例えば
7,put on,身に着ける
8,instead of,～の代わりに
9,be popular with,人気がある
10,be dressed in,身に着けている
11,on time,時間通りに
12,on earth,一体全体
13,take care of,世話をする
14,quite a few,かなり多くの
15,can afford to,余裕がある
16,be strict with,厳しい
17,insist on,主張する
18,behave oneself,行儀よくする
19,at all times,いつも
20,these days,最近
21,appeal to,訴える
22,spend A on B,AをBに費やす
23,spend O in ～ ing,Oを～して過ごす
24,be forced to,～せざるを得ない
25,move to,引っ越す
26,take ～ back,びっくりさせる
27,be fond of,好む
28,hold up,持ち上げる
29,prefer A to B,BよりAを好む
30,be satisfied with,満足している
31,at any time,どんな時でも
32,at the mercy of,～のなすがままに
33,get into,～の中へ入る
34,supply A with B,AにBを供給する
35,shake hands,握手する
36,originate in,始まる
37,come across,偶然出くわす
38,reach for,手を伸ばす
39,out of fear,恐怖心から
40,in spite of oneself,意に反して
41,each other,お互い
42,lay aside,置く
43,be in danger,危険な状態にある
44,give off,放出する
45,be essential to,～にとって不可欠である
46,take measures,手段を講じる
47,in the future,将来
48,in addition,加えて
49,clear A of B,AからBを取り除く
50,make room for,～のために場所を空ける
51,be true of,当てはまる
52,in the process of,～の過程で
53,at this late,この割合で
54,owe A to B,AはBのおかげだ
55,make one`s way to,苦労して進む
56,at the age of,～歳の時に
57,look for,探す
58,devote oneself to,専念する
59,be engaged in,従事している
60,see that,～するよう取り計らう
61,set up,設立する
62,as a result,その結果として
63,prove to be,～であると判明する
64,bring out,世に出す
65,point of view,観点
66,break away,関係を断つ
67,for oneself,独力で
68,take the lead,先頭に立つ
69,look out,気をつける
70,in time,間に合って
71,run over,ひく
72,that is,つまり
73,by means of,～によって
74,catch sight of,見かける
75,make a noise,音を立てる
76,in other words,言い換えれば
77,take note of,きづく
78,for the time being,しばらくの間
79,take advantage of,利用する
80,be dependent on,依存している
81,make up for,補う
82,by oneself,独力で
83,pay attention,注意を払う
84,apply for,応募する
85,apply to,当てはまる
86,make a living,収入を得る
87,see the sight of,見物する
88,at the same time,同時に
89,pay a visit to,訪問する
90,after all,結局
91,be equal to,耐えられる
92,carry out,実行する
93,in case of,～する場合に備えて
94,depend on,依存する
95,think little of,軽んじる
96,pride oneself on,誇りに思う
97,as a matter of fact,実際のところ
98,be gifted with,恵まれている
99,suspect A of B,AをBではないかと疑う
100,not ~ by any means,決して～ない
101,admit to,認める
102,noting more than,～にすぎない
103,think twice,よく考える
104,in fact,実は
105,fall short of,不足する
106,with respect to,～に関して
107,be acquainted with,知り合いである
108,for the most part,たいてい
109,of one`s own accord,自発的に
110,by choice,進んで
111,tend to,傾向がある
112,be different from,違っている
113,on the whole,大体は
114,be representative of,代表する
115,in common,共通して
116,close to,～の近くに
117,play a role,役割を果たす
118,because of,～のために
119,have an effect on,影響を与える
120,be composed of,～から成り立っている
121,do without,～なしですます
122,in short supply,不足して
123,such as,例えば～のような
124,be abundant in,豊富である
125,in part,ある程度
126,on the increase,増加して
127,on the average,平均して
128,keep up with,ついていく
129,take steps,手段を講じる
130,by accidet,偶然
131,all the way,ずっと
132,in nine cases out of ten,十中八九
133,make friends with,友達になる
134,put A into B,AをBで表す
135,leave A to B,AをBに任せる
136,have ~ in mind,～のことを思っている
137,for the first time,初めて
138,make progress,進歩する
139,get to,到着する
140,be content to,喜んで～する
141,have no idea,わからない
142,take to,気に入る
143,expose A to B,AをBにさらす
144,by chance,偶然
145,find out,発見する
146,prevent ~ from ... ing,～が・・・するのを妨げる
147,come to,～するようになる
148,go bad,腐る
149,give up,あきらめる
150,make A from B,BからAを作る
151,add A to B,AをBに加える
152,to some extent,ある程度
153,be likely to,～しそうである
154,distinguish A from B,AとBを区別する
155,take notice,きづく
156,be absorbed in,没頭する
157,be bent on,熱中している
158,concentrate on,集中する
159,of great interest,大変面白い
160,bring about,引き起こす
161,work on,取り組む
162,in oneself,それ自体
163,under the control of,～に支配されて
164,above all,何よりもまず
165,classify A into B,AをBに分類する
166,~ and so on,～など
167,what is the matter with,～はどこが問題か
168,be superior to,より優れている
169,many a ~,多くの
170,take ~ for example,～を例にとる
171,be inferior to,より劣る
172,be aware of,気づいている
173,give rise to,引き起こす
174,be connected with,関係している
175,be ignorant of,知らない
176,be conscious of,意識している
177,cope with,対処する
178,get to one`s feet,立ち上がる
179,let alone,～は言うまでもなく
180,in accordance with,～に従って
181,in proportion,比例して
182,at issue,論争中の
183,as to,～に関して
184,inform A of B,AにBを知らせる
185,believe in,信じる
186,be wrong with,調子が悪い
187,deprive A of B,AからBを奪う
188,on the other hand,他方では
189,count for much,非常に重要である
190,take the place of,取って代わる
191,come before,より優先する
192,all but,ほとんど
